DriverNumber,Team,FastestFPLap,MeanFPLaps,StdFPLaps,DeltaBestFPLap,TrackTempAvgFP,AirTempAvgFP,RainAvgFP,GP,FastestLapRace,Year,TrackTempAvgRace,AirTempAvgRace,RainAvgRace,FasterThanTeammateRace,PointFinishRace,FasterThanTeammateFP
55,Williams,72.519,73.17435714285715,0.5713683584347379,-0.7199999999999989,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,0.0
6,Racing Bulls,72.651,73.48816666666666,0.6545141752136111,-0.8519999999999897,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,0.0,1.0
63,Mercedes,71.95,72.86718181818182,0.6503197560615605,-0.15099999999999625,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,1.0
81,McLaren,72.519,73.34,0.7511949528204088,-0.7199999999999989,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,0.0
87,Haas F1 Team,72.825,73.7048125,0.5855099506786795,-1.0259999999999962,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,1.0
1,Red Bull Racing,64.534,65.59419999999999,0.5336811407572878,-0.21000000000000796,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,0.0,1.0
5,Kick Sauber,65.182,66.113375,0.5684801969945836,-0.8580000000000041,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,1.0,1.0
6,Racing Bulls,65.547,66.46928571428572,0.5116016068012618,-1.222999999999999,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,0.0,0.0
10,Alpine,65.366,66.27946153846155,0.5397716918197377,-1.0420000000000016,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,0.0,1.0
12,Mercedes,65.053,65.82827272727273,0.5330052175949787,-0.7289999999999992,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,0.0,0.0
